Location,Species ,Order,Count,,,,,,,,
Snowbowl,Gomphidae,Odonata,1,,,,,,,,
Snowbowl,Leuctridae,Plecoptera,1,,,,,,,,
Snowbowl,Chloroperlidae,Plecoptera,1,,,,,,,,
Snowbowl,Chironomidae,Diptera,1,,,,,,,,
Snowbowl,Peltoperlidae,Plecoptera,1,,,,,,,,
Snowbowl,Unknown (mayfly or stonefly),NA,2,,,,,,,,
Snowbowl,Unknown ,NA,1,,,,,,,,
Snowbowl,Elmidae,Coleoptera,3,,,,,,,,
Snowbowl,Chironomidae,Diptera,2,,,,,,,,
Snowbowl,Hydropsychidae,Trichoptera,3,,,,,,,,
Snowbowl,ephemerellidae ,Ephemeroptera,3,,,,,,,,
Snowbowl,Baetidae,Ephemeroptera,1,,,,,,,,
Snowbowl,Limoniidae,Diptera,4,,,,,,,,
Snowbowl,Chloroperlidae,Plecoptera,1,,,,,,,,
Snowbowl,odonata ,Odonata,1,,,,,,,,
Snowbowl,leptophlebidae,Ephemeroptera,2,,,,,,,,
Snowbowl,ephemerellidae ,Ephemeroptera,1,,,,,,,,
Snowbowl,Hydropsychidae,Trichoptera,2,,,,,,,,
Snowbowl,diptera lemoniidae ,Diptera,1,,,,,,,,
Snowbowl,coleoptera elmidae ,Coleoptera,1,,,,,,,,
Snowbowl,Baetidae,Ephemeroptera,2,,,,,,,,
Snowbowl,Chloroperlidae,Plecoptera,1,,,,,,,,
Snowbowl,adult elmidae ,Coleoptera,2,,,,,,,,
Snowbowl,hydropsychidae,Trichoptera,1,,,,,,,,
Rikert,Tipulidae,Diptera,1,,,,,,,,
Rikert,Hydropsychidae,Trichoptera,4,,,,,,,,
Rikert,Brachycentridae,Trichoptera,1,,,,,,,,
Rikert,Perlidae,Plecoptera,3,,,,,,,,
Rikert,Hydropsychidae,Trichoptera,1,,,,,,,,
Rikert,Brachycentridae,Trichoptera,2,,,,,,,,
Rikert,Psephenidae,Coleoptera,7,,,,,,,,
Rikert,Diptera,Diptera,6,,,,,,,,
Rikert,Tipulidae,Diptera,1,,,,,,,,
Rikert,Rhyacophilidae,Trichoptera,2,,,,,,,,
Rikert,Perlidae,Plecoptera,4,,,,,,,,
Rikert,Ephemerelidae,Ephemeroptera,2,,,,,,,,
Rikert,Philopotamidae,Trichoptera,6,,,,,,,,
Rikert,Psephenidae,Coleoptera,1,,,,,,,,
Rikert,Unknown mayflies,Ephemeroptera,3,,,,,,,,
Sparks Brook,heptageniidae ,Ephemeroptera,3,,,,,,,,
Sparks Brook,elmidae ,Coleoptera,3,,,,,,,,
Sparks Brook,diptera ,Diptera,20,,,,,,,,
Sparks Brook,chloroperlidae ,Plecoptera,1,,,,,,,,
Sparks Brook,ryacophilidae,Trichoptera,8,,,,,,,,
Sparks Brook,perlidae ,Plecoptera,2,,,,,,,,
Sparks Brook,brachycentridae,Trichoptera,6,,,,,,,,
Sparks Brook,baetidae,Ephemeroptera,4,,,,,,,,
Sparks Brook,ephemerellidae,Ephemeroptera,9,,,,,,,,
Sparks Brook,pupating ryacophilidae,Trichoptera,2,,,,,,,,
Sparks Brook,perlidae ,Plecoptera,4,,,,,,,,
Sparks Brook,peltoperlidae,Plecoptera,1,,,,,,,,
Sparks Brook,glossosomatidae,Trichoptera,5,,,,,,,,
Sparks Brook,pupating caddis,Trichoptera,3,,,,,,,,
Sparks Brook,heptageniidae ,Ephemeroptera,3,,,,,,,,
Sparks Brook,ephemerellidae,Ephemeroptera,5,,,,,,,,
Sparks Brook,baetidae,Ephemeroptera,3,,,,,,,,
Sparks Brook,odonata,Odonata,3,,,,,,,,
Sparks Brook,philoptamidae,Trichoptera,2,,,,,,,,
Sparks Brook,diptera ,Diptera,12,,,,,,,,
Sparks Brook,brachycentridae,Trichoptera,20,,,,,,,,
Sparks Brook,tipulidae,Diptera,5,,,,,,,,
Sparks Brook,pteronarcyidae ,Plecoptera,3,,,,,,,,
Sparks Brook,heptageniidae ,Ephemeroptera,5,,,,,,,,
Sparks Brook,chloroperlidae ,Plecoptera,21,,,,,,,,
Sparks Brook,ephemerellidae,Ephemeroptera,7,,,,,,,,
Sparks Brook,peltoperlidae,Plecoptera,2,,,,,,,,
Sparks Brook,leuctridae,Plecoptera,1,,,,,,,,
Sparks Brook,perlidae ,Plecoptera,3,,,,,,,,
Sparks Brook,baetidae,Ephemeroptera,2,,,,,,,,
Sparks Brook,7 unknown worms,NA,7,,,,,,,,
Sparks Brook,1 unknown stonefly,Plecoptera,1,,,,,,,,
Sparks Brook,perlidae ,Plecoptera,1,,,,,,,,
Sparks Brook,ephemerellidae,Ephemeroptera,8,,,,,,,,
Sparks Brook,brachycentridae,Trichoptera,1,,,,,,,,
Sparks Brook,chloroperlidae,Plecoptera,3,,,,,,,,
Sparks Brook,tipulidae,Diptera,2,,,,,,,,
Sparks Brook,baetidae,Ephemeroptera,3,,,,,,,,
Sparks Brook,rhyacophilidae,Trichoptera,4,,,,,,,,
