SiteID,route,state,REGION,stop,wet_prop_300,wet_prop_600,wet_prop_1000,wet_prop_5000,wet_prop_10000,T_ROAD_LEN_300,T_ROAD_LEN_600,T_ROAD_LEN_1000,T_ROAD_LEN_5000,T_ROAD_LEN_10000,P_ROAD_LEN_300,P_ROAD_LEN_600,P_ROAD_LEN_1000,P_ROAD_LEN_5000,P_ROAD_LEN_10000,S_ROAD_LEN_300,S_ROAD_LEN_600,S_ROAD_LEN_1000,S_ROAD_LEN_5000,S_ROAD_LEN_10000,O_ROAD_LEN_300,O_ROAD_LEN_600,O_ROAD_LEN_1000,O_ROAD_LEN_5000,O_ROAD_LEN_10000,PS_ROAD_LEN_300,PS_ROAD_LEN_600,PS_ROAD_LEN_1000,PS_ROAD_LEN_5000,PS_ROAD_LEN_10000,imperv300,imperv600,imperv1000,imperv5,imperv10,PROP_FOR_300,PROP_FOR_600,PROP_FOR_1000,PROP_FOR_5000,PROP_FOR_10000,PROP_DEV_300,PROP_DEV_600,PROP_DEV_1000,PROP_DEV_5000,PROP_DEV_10000,PROP_AGR_300,PROP_AGR_600,PROP_AGR_1000,PROP_AGR_5000,PROP_AGR_10000,Num.Surveys,Num.Years,Car.Count,Noise.Num,NOISE_LEV,ANFO,HYCI,HYGR,HYSQ,LICA,LICL,LIPA,LIPI,LISP,LISY,HYCV,PSTR,richness,NPP
3729,250101,FL,S,9,0.347254389,0.270251208,0.221380587,0.236734015,0.497140549,832.891327,4008.2013,15063.59764,362529.9557,1576454.516,0,0,0,14598.07784,36718.53222,586.408327,1193.936037,1997.098901,49840.2054,259378.0345,246.483001,2272.830179,10693.04257,248532.4458,1137126.493,586.408327,1193.936037,1997.098901,64438.28324,296096.5667,0.038974359,0.043370518,0.058179199,0.090645473,0.092036942,0.158730159,0.176984127,0.183802412,0.26708224,0.203131983,0.06984127,0.070634921,0.107409535,0.157295259,0.172385143,0,0,0,0.012341152,0.010411295,3,1,20.5,1,0.333333333,0,1,0,0,0,1,NA,NA,0,NA,0,NA,2,189
3739,250102,FL,S,9,0.42282553,0.363779539,0.405573743,0.351780823,0.220178487,1073.264041,2577.188537,4647.780707,101151.3805,639417.7923,0,0,0,0,36404.23938,0,0,0,0,18277.6596,1073.264041,2577.188537,4647.780707,95811.53529,551544.1552,0,0,0,0,54681.89898,0.008834951,0.005539568,0.004029894,0.005207806,0.008348545,0.2939,0.4211,0.5229,0.534,0.5605,0,7.00E-04,0.0029,0.0039,0.0101,0,0,0,7.00E-04,0.017,9,4,NA,1,0.111111111,0,0,0,0,0,1,NA,NA,1,NA,1,0,12,188
3774,250106,FL,S,4,0.278257471,0.270251423,0.256859482,0.385596613,0.256436813,1135.88,4253.9,9771.27,171633.1,857498.74,0,0,0,0,0,1135.88,2449.16,4087.1,44571.1,214727.62,103.35,1145.7,4191.08,105369.11,564302.8,1135.88,2449.16,4087.1,44571.1,214727.62,0.014290221,0.009289705,0.007398678,0.004845755,0.012504581,0.39,0.435,0.424,0.313,0.304,0,0,0.0032,0.0037,0.00191,0,0,0,0.006,0.01532,3,1,4,0,0,NA,1,1,1,0,1,NA,NA,0,NA,0,0,9,171
3791,250108,FL,S,1,0.374754659,0.42938788,0.374064159,0.685073308,0.730237039,1610.770403,4281.537961,9734.75539,145423.1885,479794.6491,0,0,0,0,0,889.459731,1843.038092,3089.725185,21716.95943,39938.60245,721.310672,2192.985751,6311.691848,122030.1626,436664.9108,889.459731,1843.038092,3089.725185,21716.95943,39938.60245,0.01168254,0.006192,0.003703278,0.001399229,0.000792622,0.37060703,0.2288676,0.201317,0.311559,0.318702,0,0,0,5.00E-04,0.00038,0,0,0.0587,0.006509,0.002552,11,3,2.9,0,0,0,1,1,0,0,1,NA,NA,1,NA,0,1,8,179
3813,250110,FL,S,3,0.219535239,0.257904888,0.368185441,0.491147089,0.380585995,599.991,2275.63,5207.99,122131.16,740253.202,0,0,0,0,0,0,0,0,6357.98,86234.383,599.991,2275.63,5207.991,114650.619,630999.804,0,0,0,6357.98,86234.383,0.012692308,0.008052674,0.005936152,0.003200124,0.013799219,0.571884984,0.415470494,0.334765178,0.255440575,0.280751459,0.028753994,0.007177033,0.004860267,0.002108617,0.02105242,0,0,0,0.000297957,0.025973914,5,3,0.33,0,0,NA,1,0,1,0,0,NA,NA,1,NA,0,1,8,173
3824,250111,FL,S,4,0.006689437,0.019451464,0.012280827,0.045172321,0.132015303,599.953094,1199.976506,5284.335277,204058.9846,1046717.941,0,0,0,0,28.866447,599.953094,1199.976506,1999.992094,29146.36886,83715.92292,0,0,3284.343183,170745.9736,938244.6897,599.953094,1199.976506,1999.992094,29146.36886,83744.78937,0.028507937,0.025800797,0.040129459,0.032537538,0.040970092,0.0415,0.071,0.10137,0.0809,0.07604,0.0479,0.04066,0.07789,0.05992,0.078,0,0,0,0.00925,0.02313,11,4,23.36,9,0.818181818,NA,0,1,0,0,0,NA,NA,0,NA,0,0,3,168
3841,250114,FL,S,1,0.114803332,0.303053709,0.362063873,0.352181374,0.319446179,1549.279493,3709.658794,7572.212611,114030.6076,484379.4982,0,0,0,0,0,1331.622286,2874.932688,4918.605419,22047.65453,53507.38486,217.657207,834.726106,2653.607192,91327.13297,415224.2138,1331.622286,2874.932688,4918.605419,22047.65453,53507.38486,0.096019108,0.054427663,0.047948127,0.018292141,0.02572419,0.476038,0.397129,0.351661,0.252404,0.296415,0.022364,0.010367,0.006586,0.027309,0.020915,0,0,0,0.001776,0.06758,2,1,5.5,2,1,NA,0,0,0,0,NA,NA,NA,0,NA,NA,0,1,168
3854,250115,FL,S,4,0.505881134,0.495956218,0.4056184,0.325059642,0.326162995,561.549971,1181.225396,2754.942646,74705.67161,361238.3339,0,0,0,0,0,561.549971,1181.225396,1988.86075,12186.37424,53052.63234,0,0,758.425861,61635.88462,297904.9415,561.549971,1181.225396,1988.86075,12186.37424,53052.63234,0.012347267,0.01972067,0.012848921,0.008389368,0.011004289,0.083067093,0.067783094,0.0965063,0.087782629,0.067806612,0,0.027113238,0.017468499,0.00727702,0.015025166,0,0,0,0,0.00025209,5,3,26,3,0.6,NA,1,0,0,1,NA,NA,NA,0,NA,NA,0,7,166
3885,250118,FL,S,5,0.246221999,0.217164307,0.148051355,0.089119404,0.179730904,869.479388,2647.435748,6481.165045,101255.6365,385024.5175,0,0,0,0,0,0,0,0,9545.601222,44478.37211,869.104538,2647.435748,6481.165045,91710.03531,330301.9259,0,0,0,9545.601222,44478.37211,0.006173633,0.006413131,0.009456272,0.010219422,0.008902016,0,0.033492823,0.072164948,0.047249057,0.020659961,0,0.00877193,0.016609393,0.023137484,0.018107545,0.530351438,0.481658692,0.495704467,0.378611293,0.225477754,2,1,NA,1,0.5,NA,1,1,1,0,NA,NA,NA,0,NA,NA,1,9,167
3902,250121,FL,S,2,0.921369894,0.960214909,0.955802788,0.930961035,0.903742268,599.98,1300.37,2303.77,62193.62,200212.96,0,0,0,8721,19890.67,599.98,1199.99,2000,10007.56,20015.79,0,100.38,303.77,41125.42,157966.95,599.98,1199.99,2000,18728.56,39906.46,0.013789809,0.00754988,0.004518263,0.004163924,0.002219547,0,0,0,0,0,0,0,0.0029,0.0109,0.0058,0,0,0,0,9.00E-04,1,1,9,1,1,NA,1,0,0,NA,NA,NA,NA,0,NA,NA,0,2,169
3915,250122,FL,S,5,0.752208595,0.865265465,0.922720676,0.985075805,0.988513209,1996.97,3848.78,6294.76,30389.99,133454.29,0,0,0,0,23316.38,1145.31,2372.81,3998.47,20044.59,72259.92,851.66,1475.97,2296.29,10345.41,28227.39,1145.31,2372.81,3998.47,20044.59,95576.3,0.037731629,0.015016026,0.007956309,0.001435591,0.001339643,0,0,0,0,0,0.099,0.0327,0.0183,0.0037,0.0034,0,0,0,0,0,1,1,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,173
3946,250202,FL,S,6,0.01866133,0.005359475,0.007396176,0.088436512,0.121823252,616.069645,2679.425645,9249.222309,169556.5936,633367.5737,0,0,0,0,0,0,0,0,9182.902875,39686.51599,616.069645,2679.425645,9183.601804,159298.8202,582010.6216,0,0,0,9182.902875,39686.51599,0.006217949,0.003803042,0.003142775,0.00292764,0.002769009,0.533546326,0.50877193,0.571305842,0.691339774,0.597995881,0,0,0,0.001581463,0.001297693,0.325878594,0.331738437,0.234249714,0.054480237,0.062088742,19,4,0.21,0,0,0,1,1,1,0,1,NA,NA,1,NA,1,1,13,188
3977,250205,FL,S,7,0.204279923,0.235507678,0.293969902,0.327593449,0.376543037,2202.758937,4381.625949,8113.351302,112847.6697,428552.5638,0,0,0,0,0,1439.411655,3014.735029,5816.549703,36281.65723,95498.71299,480.384651,781.89263,1416.441836,70391.94316,304824.2759,1439.411655,3014.735029,5816.549703,36281.65723,95498.71299,0.013312102,0.006831604,0.003828193,0.00137837,0.001761279,0.156549,0.22408,0.272909,0.347956,0.318089,0,0,0,0,0.000441158,0.015974441,0.07177,0.0873424,0.0798409,0.1063,2,2,1,0,0,NA,1,0,1,0,0,NA,NA,1,NA,0,0,6,170
3986,250206,FL,S,6,0,0,0.000471263,0.013412492,0.072065503,1464.724172,7202.488143,31659.26766,285772.9522,1041840.572,0,0,0,0,0,1064.330172,2422.675056,9816.939939,64386.81505,163179.7003,212.676542,4489.321445,21134.95576,180459.6757,698572.6658,1064.330172,2422.675056,9816.939939,64386.81505,163179.7003,0.023968254,0.032316879,0.045941278,0.007910343,0.005118674,0.44728434,0.40191,0.014032,0.31285,0.28304,0.2875,0.6539,0.0369,0.01046,0.16777,0,0,0.01202749,0.08712941,0.07124993,8,5,4.57,1,0.125,NA,0,0,0,0,0,NA,NA,0,NA,0,0,2,170
3991,250207,FL,S,1,0.204478786,0.18514022,0.257505854,0.203583822,0.198341435,598.927329,1992.450017,4276.656544,191511.3121,1123873.083,0,0,0,0,0,598.927329,1199.334143,1999.707484,17745.79295,83543.2222,0,793.115875,2276.94906,173468.2794,973473.9275,598.927329,1199.334143,1999.707484,17745.79295,83543.2222,0.040318471,0.041226115,0.030948127,0.074403765,0.086520573,0.623794,0.61,0.555842,0.318719,0.288269,0.157556,0.101992,0.0652921,0.12352,0.167777,0,0,0.010596,0.003037,0.00268,1,1,16,0,0,NA,0,0,0,0,0,NA,NA,0,NA,0,0,1,169
4002,250210,FL,S,2,0.316783708,0.487586692,0.547123364,0.520777263,0.559903799,1210.694401,3833.504039,7525.962053,233161.541,631492.498,0,0,0,0,0,600.037535,1200.210745,2000.815846,46931.84633,102913.4614,520.540162,2460.240561,4712.614369,169636.059,482658.304,600.037535,1200.210745,2000.815846,46931.84633,102913.4614,0.011612903,0.009648281,0.007221264,0.011638073,0.005902966,0.189711,0.134661,0.172394,0.204962,0.229462,0.025724,0.021514,0.0126,0.017934,0.008583,0,0,0,0.004217,0.001725,4,3,1.67,1,0.25,NA,1,1,1,0,0,NA,NA,1,NA,0,1,7,173
4018,250211,FL,S,8,0.176256242,0.249698581,0.172948658,0.283568432,0.340263467,1235.491408,2972.363346,7531.533154,136755.8217,471763.9424,0,0,0,0,0,598.857713,1200.80994,2017.863505,24582.54802,67325.31606,636.633695,1771.553406,5513.669649,108938.9525,362226.5466,598.857713,1200.80994,2017.863505,24582.54802,67325.31606,0.013709677,0.008081862,0.005853939,0.00355103,0.00253083,0.1757,0.3333,0.4498,0.5318,0.036,0,0,0.0022,0.0044,0.0031,0,0,0,0,0.0016,5,3,4.6,0,0,NA,1,1,1,0,0,NA,NA,0,NA,1,0,6,169
4090,250219,FL,S,10,0,0.018542769,0.031051827,0.04021562,0.062249548,599.98,2053.39,6038.39,177406.35,635895.1,0,0,0,0,0,0,0,1129.03,15195.5,58172.88,599.98,2053.39,4909.37,158031.74,567161.55,0,0,1129.03,15195.5,58172.88,0.006451613,0.003264,0.006637931,0.006630881,0.005890137,0,0,0.0034,0.0024,7.00E-04,0,0,0.0158,0.0101,0.0078,0.9265,0.248,0.9235,0.6954,0.5736,19,8,0.8,0,0,NA,1,0,1,0,0,NA,NA,1,NA,NA,0,8,168
4098,250221,FL,S,8,0.801440141,0.861352443,0.926271563,0.947755316,0.957414262,1323.99,2685.19,3984.78,30575.92,100442.95,0,0,0,0,0,0,0,0,0,24283.89,1323.99,2137.86,2938.04,28475.87,73294.96,0,0,0,0,24283.89,0.01625,0.007824,0.004561404,0.001379076,0.002140159,0,0,0,0,0,0.043,0.03,0.018,0,0,0,0,0,0,0,10,4,0,0,0,NA,1,0,1,NA,NA,NA,NA,1,NA,NA,0,9,171
4101,250222,FL,S,1,0.730486403,0.764685628,0.700753844,0.73556459,0.707080744,1260.86,2485.37,4549.34,82620.75,776729.5,0,0,0,0,0,0,0,0,0,53655.87,1260.86,2485.37,4549.34,82620.75,776729.5,0,0,0,0,53655.87,0.060888889,0.019140127,0.018988764,0.043667399,0.072624687,0,0.004,0.0032,0.0081,0.002,0.1214,0.03588,0.0608,0.0903,0.1538,0,0,0.0123,0.0999,0.03665,11,3,0.73,3,0.272727273,NA,1,0,0,NA,NA,NA,NA,1,NA,NA,0,6,179
4128,250302,FL,S,8,0.011150511,0.081126816,0.237397,0.300006211,0.526845022,2340.68,7133,12431.12,135616.21,540918.73,0,0,0,0,0,1292.86,2820.5,4963.23,30899.92,112033.95,1047.81,4312.5,7243.95,97005.62,395097.71,1292.86,2820.5,4963.23,30899.92,112033.95,0.016430868,0.014604317,0.007206897,0.003244273,0.004423356,0.4824,0.5439,0.5387,0.5106,0.333,0.01597,0.004,0.0014,0.003,0.0051,0,0,0,0.0138,0.0664,11,4,2,0,0,0,1,0,0,0,1,NA,NA,1,NA,0,0,7,187
4137,250303,FL,S,7,0.415815031,0.262646871,0.217475928,0.180756058,0.180636637,1965.614601,4436.280722,10350.80071,146454.1659,586155.8036,0,0,0,0,9218.975039,600,1200.02,2000.05,27831.0265,89206.20662,769.296968,2510.531494,7515.13,102898.0307,441239.9407,600,1200.02,2000.05,27831.0265,98425.18166,0.019645161,0.00904571,0.007025862,0.003311318,0.005207171,0.276527,0.2919,0.2457,0.34446,0.365,0.0351,0.0096,0.0072,0.0022,0.0049,0,0,0.0269,0.0744,0.0588,13,5,9.75,0,0,1,1,1,0,0,1,NA,NA,1,NA,0,1,11,180
4143,250306,FL,S,3,0.01774084,0.020535205,0.008884619,0.046921614,0.061768673,1317,5324.62,12938.48,283022.14,1083119.81,0,0,0,0,0,597.29,1198.14,2118.9,29954.13,124984.4,565.37,3815.32,9152.62,214682.4,795425.36,597.29,1198.14,2118.9,29954.13,124984.4,0.031047619,0.020421975,0.013330455,0.007366035,0.009961568,0.2652,0.2265,0.2651,0.2267,0.271,0.0634,0.0351,0.0617,0.0068,0.0127,0,0.0367,0.073,0.0472,0.0259,3,2,6,0,0,NA,1,0,0,0,0,NA,NA,0,NA,0,0,2,172
4176,250312,FL,S,6,0.331092607,0.398357387,0.334955262,0.214051089,0.276388812,1411.61,6093.63,20831.65,357550.23,903856.07,0,0,0,0,0,603.58,1215.5,2033.7,19730.02,54167.8,808.03,4689.57,18066.7,322807.97,809378.26,603.58,1215.5,2033.7,19730.02,54167.8,0.036964856,0.045120192,0.054240943,0.031636692,0.017948295,0.23,0.1385,0.1791,0.4447,0.3252,0.0319,0.0669,0.082,0.0293,0.012,0,0,0,0.0051,0.0055,2,2,31,2,1,NA,1,0,0,0,0,NA,NA,0,NA,0,0,5,168
4187,250314,FL,S,7,0.089542768,0.074284671,0.097699668,0.310300443,0.394535446,2154.47486,7310.494486,17066.13002,289200.77,819303.4228,0,0,0,0,7073.627188,585.503331,1185.579021,1985.630972,36127.70774,76848.11738,1568.971529,6124.915466,15080.49905,251638.7644,714558.1759,585.503331,1185.579021,1985.630972,36127.70774,83921.74457,0.086166134,0.074960128,0.062541054,0.051137883,0.037748995,0.140575,0.244019,0.25945,0.161377,0.145066,0.1821,0.18421,0.15206,0.111367,0.0775,0,0,0,0,0.00125472,1,1,27,0,0,NA,0,0,0,0,0,NA,NA,0,NA,0,0,2,171
4208,250316,FL,S,8,0.003434757,0.047879888,0.067719534,0.334175625,0.615316587,769.127267,4488.670766,10494.10507,141136.676,521053.5766,0,0,0,0,0,599.425672,2412.455698,4098.880686,22511.35097,120402.2134,169.701595,2023.363516,5874.267135,112052.1005,386336.8958,599.425672,2412.455698,4098.880686,22511.35097,120402.2134,0.070935484,0.035865385,0.019692352,0.017008491,0.032275306,0,0,0,0,1.00E-05,0.1534,0.0774,0.0029,0.0295,0.0643,0.0543,0.1196,0.0221,0.01823,0.0056,5,4,NA,0,0,NA,1,0,0,0,NA,NA,NA,0,NA,NA,0,2,167
4233,250321,FL,S,3,0.011534841,0.036780638,0.043729453,0.127417557,0.237303571,1422.7,2625.1454,4971.8954,82030.321,365363.3749,0,0,0,0,0,1195.173,2397.617842,3998.48775,27389.0647,81821.58,42.9251,42.9251,788.8052,51011.6367,273215.891,1195.173,2397.617842,3998.48775,27389.0647,81821.58,0.064126984,0.033701039,0.021334484,0.006678941,0.007908834,0,0,0,0,0.000240632,0.198083067,0.118022329,0.070733104,0.01900047,0.019494043,0.690095847,0.816586922,0.889175258,0.669818132,0.433747468,1,1,14,1,1,NA,1,1,0,0,NA,NA,NA,0,NA,NA,0,4,166
4291,250411,FL,S,1,0.240129402,0.292249257,0.370401603,0.458874032,0.315168933,944.345112,3057.860559,10114.3412,248222.5287,858949.5099,0,0,0,11.416168,11.416168,944.345112,1870.048219,3049.986232,29103.42482,98553.65604,0,868.237694,4517.742912,194409.2028,668973.7698,944.345112,1870.048219,3049.986232,29114.84099,98565.07221,0.019196141,0.012245389,0.00986774,0.019688877,0.017682003,0.022364,0.010367,0.006586,0.027309,0.020915,0.476038,0.397129,0.351661,0.252404,0.296415,0,0,0,0.001776,0.005738,7,4,19.67,3,0.428571429,NA,0,0,1,0,0,NA,NA,1,NA,0,0,6,169
4311,250414,FL,S,1,0.317123215,0.377719095,0.338899493,0.421388882,0.394201083,2875.987592,9894.844924,22908.51152,301925.1359,1082724.854,0,0,5.667115,5.667115,5.667115,597.377675,1198.557918,1993.436496,31051.49289,109212.7346,2278.609917,8696.287006,20704.44268,265740.8568,935830.4959,597.377675,1198.557918,1999.103611,31057.16001,109218.4017,0.174793651,0.122745411,0.083624064,0.046937947,0.041990841,0,0,0,0.044636206,0.099062968,0.345047923,0.251196172,0.158934708,0.084768682,0.076916246,0,0,0,0,1.43E-05,1,1,NA,0,0,NA,0,0,0,0,0,NA,NA,0,NA,0,0,0,171
4337,250418,FL,S,7,0.471201242,0.362633014,0.456889034,0.245228656,0.214730323,1450.876,3000.369,6639.83,125526.02,546271.98,0,0,0,0,0,0,0,0,0,26152.77,1450.876,3000.369,6639.83,125172.018,518910.72,0,0,0,0,26152.77,0.009129032,0.007001608,0.008028169,0.011801245,0.01875603,0,0,0,0,9.00E-05,0,0,0.0052,0.01574,0.02885,0,0,0.078178694,0.033313852,0.45030523,3,1,8,3,1,NA,1,0,0,0,NA,NA,NA,0,NA,NA,0,3,167
4358,250421,FL,S,8,0.248604292,0.17112605,0.150177878,0.242829235,0.249501319,927,1930.41,3031.44,44574.5,157657.65,0,0,0,0,0,0,0,0,0,3533.43,927.74,1830.41,3031.44,44574.5,150781.95,0,0,0,0,3533.43,0.028679245,0.015952381,0.009564841,0.007129198,0.006467075,0,0,0,0,0,0.0864,0.047,0.0298,0.0097,0.0072,0,0.0989,0.1529,0.1391,0.0712,7,3,1.86,0,0,NA,1,1,1,1,NA,NA,NA,1,NA,NA,1,12,168
4399,250511,FL,S,9,0.478417987,0.678268557,0.754989701,0.688886243,0.658783532,1164.754362,2926.580163,6095.816113,156904.5094,533668.4506,0,0,0,0,0,0,0,0,0,23873.26007,1164.754362,2926.580163,6095.816113,156734.5577,508407.1873,0,0,0,0,23873.26007,0.005714286,0.003264331,0.00232518,0.000866769,0.001866359,0.298412698,0.198248408,0.168909247,0.275891312,0.231936331,0,0,0,0,0.001787674,0,0,0,0,0.003520915,4,3,1,0,0,NA,1,0,0,0,0,NA,NA,1,NA,1,0,6,171
4403,250515,FL,S,3,0.359886614,0.338165198,0.358840031,0.332920794,0.33501609,684.168373,1760.563512,2973.595613,181531.0195,684535.8925,0,0,0,18302.45402,38743.01946,0,0,0,25721.91258,84466.66422,684.168373,1760.563512,2973.595613,135637.3155,551379.7139,0,0,0,44024.3666,123209.6837,0.020705128,0.017400319,0.016527378,0.032674061,0.022421417,0,0,0,0.01100047,0.013370807,0.053968254,0.044444444,0.034750144,0.065475713,0.042120764,0,0,0,0.072488513,0.116197385,1,1,2,1,1,NA,0,1,0,0,0,NA,NA,0,NA,NA,0,3,167
4424,250519,FL,S,4,0.264009351,0.258409314,0.307132357,0.243844711,0.244260663,935.268146,4146.986486,7838.336165,98770.00676,290334.6145,0,0,0,10118.10003,26498.21138,592.826477,1201.520479,2028.04096,10477.06415,37967.2078,342.44167,2209.149526,4250.274878,70642.38563,214586.7548,592.826477,1201.520479,2028.04096,20595.16418,64465.41918,0.012032258,0.008402556,0.005378417,0.003336939,0.003113323,0,0,0,0.000194818,0.000332301,0.009584665,0.00877193,0.004581901,0.008021911,0.007611414,0,0,0,0.000572994,0.017872643,1,1,3,0,0,NA,1,1,0,0,NA,NA,NA,0,NA,NA,0,2,166
4469,270102,GA,S,9,0,0,0.005723331,0.012196475,0.014930943,995.4,3314.2,13802,208328.1,837669.2,0,0,0,0,27471.5,0,0,1759.4,12712.1,99128.5,995.4,3314.2,12042.6,195616,711069.2,0,0,1759.4,12712.1,126600,0.084565916,0.084603683,0.069833285,0.02842554,0.024508401,0.357,0.242,0.281,0.047,0.601,0.16,0.137,0.116,0.047,0.038,0,0,0,0,9.00E-04,9,3,3.333333333,0,0,1,NA,NA,NA,1,1,0,NA,1,0,1,0,6,176
4472,270103,GA,S,2,0.334530323,0.193964973,0.127019965,0.058942306,0.047517108,598.2,1790.4,4241.7,180778.5,760586.3,0,0,0,15075,39696,0,0,0,49429,153342,598.2,1790.4,4241.7,116274.5,567548.3,0,0,0,64504,193038,0.020320513,0.015638978,0.025666187,0.041223393,0.03160399,0.362,0.3827,0.4368,0.4324,0.4281,0.0388,0.0194,0.0443,0.0789,0.064494,0,0,0.0096,0.0029,0.00082,12,4,3,2,0.166666667,0,0,NA,NA,0,0,0,NA,1,NA,1,1,4,176
